,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,upper,middle,lower,rsi,rsi_var = ,low-lowboll,high-highboll, high-mid,mid-low,close-open,,yes_close-mid,,mid-close
50,600256.SH,20220413,8.81,9.25,8.49,9.06,8.44,0.62,7.346,1664138.4,1478446.045,9.204978014,8.0395,6.874021986,79.98726676,0.300558265,1.615978014,0.045021986,1.2105,-0.4505,0.25,,0.4005,,-1.0205
49,600256.SH,20220414,9.11,9.5,9,9.5,9.06,0.44,4.8565,1749657.33,1629284.82,9.359733732,8.1745,6.989266268,85.79558134,0.07261549,2.010733732,0.140266268,1.3255,-0.8255,0.39,,0.8855,,-1.3255
48,600256.SH,20220415,9.58,9.61,8.67,8.68,9.5,-0.82,-8.6316,2329146.58,2141975.544,9.324125404,8.2605,7.196874596,52.02690032,-0.393594641,1.473125404,0.285874596,1.3495,-0.4095,-0.9,,1.2395,,-0.4195
47,600256.SH,20220418,8.6,8.93,8.4,8.55,8.68,-0.13,-1.4977,1334081.81,1154950.62,9.250215822,8.335,7.419784178,48.40256556,-0.069662708,0.980215822,-0.320215822,0.595,-0.065,-0.05,,0.345,,-0.215
46,600256.SH,20220419,8.56,9.02,8.45,8.83,8.55,0.28,3.2749,1412620.18,1239916.578,9.195266322,8.416,7.636733678,56.2752618,0.162650392,0.813266322,-0.175266322,0.604,-0.034,0.27,,0.134,,-0.414
45,600256.SH,20220420,8.58,8.72,8.25,8.3,8.83,-0.53,-6.0023,1180545.76,1000779.06,9.15738412,8.4455,7.73361588,41.79147382,-0.257373978,0.51638412,-0.43738412,0.2745,0.1955,-0.28,,0.3845,,0.1455
44,600256.SH,20220421,8.36,8.43,7.8,7.92,8.3,-0.38,-4.5783,1150330.89,928810.195,9.166809425,8.4395,7.712190575,34.2149568,-0.181293368,0.087809425,-0.736809425,-0.0095,0.6395,-0.44,,-0.1395,,0.5195
43,600256.SH,20220422,7.83,8.5,7.83,8.39,7.92,0.47,5.9343,1237742.98,1021509.782,9.165038677,8.454,7.742961323,48.16310121,0.407662196,0.087038677,-0.665038677,0.046,0.624,0.56,,-0.534,,0.064
42,600256.SH,20220425,9,9.23,8.73,8.75,8.39,0.36,4.2908,3176438.36,2847744.776,9.191365617,8.4845,7.777634383,56.61761414,0.175539214,0.952365617,0.038634383,0.7455,-0.2455,-0.25,,-0.0945,,-0.2655
41,600256.SH,20220426,8.92,8.94,7.88,7.89,8.75,-0.86,-9.8286,2299691.14,1896972.308,9.209578121,8.4735,7.737421879,38.57971957,-0.31859157,0.142578121,-0.269578121,0.4665,0.5935,-1.03,,0.2765,,0.5835
40,600256.SH,20220427,7.89,8.29,7.83,8.15,7.89,0.26,3.2953,1504176.9,1218963.572,9.207987158,8.4585,7.709012842,44.94328768,0.16494594,0.120987158,-0.917987158,-0.1685,0.6285,0.26,,-0.5685,,0.3085
39,600256.SH,20220428,8.27,8.8,8.15,8.52,8.15,0.37,4.5399,1516073.27,1290117.28,9.215750293,8.469,7.722249707,53.22001427,0.184159349,0.427750293,-0.415750293,0.331,0.319,0.25,,-0.319,,-0.051
38,600256.SH,20220429,8.63,8.91,8.46,8.86,8.52,0.34,3.9906,1509679.78,1315480.547,9.246415529,8.511,7.775584471,59.87203915,0.124991039,0.684415529,-0.336415529,0.399,0.051,0.23,,0.009,,-0.349
37,600256.SH,20220505,9.1,9.34,8.91,9.2,8.86,0.34,3.8375,1425062.55,1302944.205,9.339740008,8.561,7.782259992,65.72128136,0.097695724,1.127740008,0.000259992,0.779,-0.349,0.1,,0.299,,-0.639
36,600256.SH,20220506,8.95,9.28,8.7,8.81,9.2,-0.39,-4.2391,1582182.73,1417676.23,9.361604779,8.5885,7.815395221,54.7384999,-0.167111493,0.884604779,-0.081604779,0.6915,-0.1115,-0.14,,0.6115,,-0.2215
35,600256.SH,20220509,8.58,8.75,8.18,8.39,8.81,-0.42,-4.7673,1568009.78,1315993.254,9.36102835,8.585,7.80897165,45.01671424,-0.177604167,0.37102835,-0.61102835,0.165,0.405,-0.19,,0.225,,0.195
34,600256.SH,20220510,8,8.16,7.58,8.14,8.39,-0.25,-2.9797,2110874.48,1661829.07,9.362927497,8.563,7.763072503,39.94880419,-0.112578409,-0.183072503,-1.202927497,-0.403,0.983,0.14,,-0.173,,0.423
33,600256.SH,20220511,8.08,8.42,8.05,8.36,8.14,0.22,2.7027,1395776.99,1160225.756,9.360447637,8.556,7.751552363,46.32932436,0.159717426,0.298447637,-0.940447637,-0.136,0.506,0.28,,-0.416,,0.196
32,600256.SH,20220512,8.37,8.64,8.27,8.35,8.36,-0.01,-0.1196,1078437.34,911287.716,9.360365373,8.5545,7.748634627,46.06236863,-0.005762133,0.521365373,-0.720365373,0.0855,0.2845,-0.02,,-0.1945,,0.2045
31,600256.SH,20220513,8.42,8.7,8.27,8.62,8.35,0.27,3.2335,1052094.91,895840.118,9.368068829,8.5635,7.758931171,54.54795288,0.184219451,0.511068829,-0.668068829,0.1365,0.2935,0.2,,-0.2135,,-0.0565
30,600256.SH,20220516,8.71,9.28,8.63,9.24,8.62,0.62,7.1926,1619880.94,1466021.323,9.402701783,8.5725,7.742298217,68.29317596,0.251984215,0.887701783,-0.122701783,0.7075,-0.0575,0.53,,0.0475,,-0.6675
29,600256.SH,20220517,9.3,9.6,9.3,9.53,9.24,0.29,3.1385,1519340.32,1441501.318,9.410980287,8.574,7.737019713,72.89414227,0.067370806,1.562980287,0.189019713,1.026,-0.726,0.23,,0.666,,-0.956
28,600256.SH,20220518,9.36,9.66,9.28,9.55,9.53,0.02,0.2099,1017438.99,960906.293,9.556241178,8.6175,7.678758822,73.21579579,0.004412611,1.601241178,0.103758822,1.0425,-0.6625,0.19,,0.9125,,-0.9325
27,600256.SH,20220519,9.27,9.58,9.15,9.53,9.55,-0.02,-0.2094,961692.42,906359.866,9.684955203,8.6665,7.648044797,72.18784932,-0.014039955,1.501955203,-0.104955203,0.9135,-0.4835,0.26,,0.8835,,-0.8635
26,600256.SH,20220520,9.53,10.36,9.52,10.2,9.53,0.67,7.0304,1586786.68,1586139.782,9.952973727,8.735,7.517026273,82.22191208,0.138999331,2.002973727,0.407026273,1.625,-0.785,0.67,,0.795,,-1.465
25,600256.SH,20220523,10.24,10.56,10,10.18,10.2,-0.02,-0.1961,1281903.41,1310697.657,10.18098964,8.829,7.477010355,81.17287794,-0.012758571,2.522989645,0.379010355,1.731,-1.171,-0.06,,1.371,,-1.351
24,600256.SH,20220524,10.32,10.5,10,10.03,10.18,-0.15,-1.4735,1277569.13,1313398.977,10.31528927,8.9345,7.553710733,72.81207535,-0.102999953,2.446289267,0.184710733,1.5655,-1.0655,-0.29,,1.2455,,-1.0955
23,600256.SH,20220525,10.02,10.64,10.01,10.48,10.03,0.45,4.4865,1344335.63,1391740.988,10.5494026,9.039,7.528597405,80.16637874,0.101003897,2.481402595,0.090597405,1.601,-0.971,0.46,,0.991,,-1.441
22,600256.SH,20220526,10.52,10.8,10.21,10.6,10.48,0.12,1.145,1547670.58,1623557.152,10.78005422,9.1315,7.482945785,81.74640355,0.01970932,2.727054215,0.019945785,1.6685,-1.0785,0.08,,1.3485,,-1.4685
21,600256.SH,20220527,10.6,11.23,10.5,10.7,10.6,0.1,0.9434,2084131.62,2242217.836,10.95204286,9.272,7.591957143,83.09326131,0.016476049,2.908042857,0.277957143,1.958,-1.228,0.1,,1.328,,-1.428
20,600256.SH,20220530,10.7,10.78,10.27,10.53,10.7,-0.17,-1.5888,1685659.63,1765080.723,11.0734494,9.391,7.708550595,72.22215163,-0.13083022,2.561449405,-0.293449405,1.389,-0.879,-0.17,,1.309,,-1.139
19,600256.SH,20220531,10.53,10.78,10.31,10.55,10.53,0.02,0.1899,1133673.28,1189297.637,11.19730351,9.4925,7.787696492,72.72590816,0.006975097,2.522303508,-0.417303508,1.2875,-0.8175,0.02,,1.0375,,-1.0575
18,600256.SH,20220601,10.46,10.47,9.94,10.19,10.55,-0.36,-3.4123,1884254.05,1906847.141,11.26368648,9.559,7.854313519,52.2561318,-0.281464706,2.085686481,-0.793686481,0.911,-0.381,-0.27,,0.991,,-0.631
17,600256.SH,20220602,10.08,10.2,9.78,9.79,10.19,-0.4,-3.9254,1748008.21,1733792.14,11.28772659,9.5885,7.889273411,37.99654862,-0.272878659,1.890726589,-1.087726589,0.6115,-0.1915,-0.29,,0.6015,,-0.2015
16,600256.SH,20220606,9.98,10.21,9.83,10.18,9.79,0.39,3.9837,1661446.08,1664277.451,11.33550052,9.657,7.978499479,53.00162673,0.394906344,1.851500521,-1.125500521,0.553,-0.173,0.2,,0.133,,-0.523
15,600256.SH,20220607,10.21,10.66,10.21,10.38,10.18,0.2,1.9646,1423355.71,1485745.398,11.35689089,9.7565,8.15610911,59.0936281,0.114939894,2.05389089,-0.69689089,0.9035,-0.4535,0.17,,0.4235,,-0.6235
14,600256.SH,20220608,10.41,10.88,10.41,10.79,10.38,0.41,3.9499,1916216.66,2044964.274,11.36617162,9.889,8.411828378,68.98374858,0.167363569,1.998171622,-0.486171622,0.991,-0.521,0.38,,0.491,,-0.901
13,600256.SH,20220609,10.65,11.38,10.56,11.29,10.79,0.5,4.6339,2058727.13,2294800.598,11.45718175,10.0355,8.613818249,77.08976608,0.11750619,1.946181751,-0.077181751,1.3445,-0.5245,0.64,,0.7545,,-1.2545
12,600256.SH,20220610,11.22,12.11,11.1,12,11.29,0.71,6.2888,1902546.38,2225194.905,11.66424479,10.218,8.771755207,84.14885281,0.0915697,2.328244793,0.445755207,1.892,-0.882,0.78,,1.072,,-1.782
11,600256.SH,20220613,11.85,12.02,11.36,11.5,12,-0.5,-4.1667,1686716.05,1957850.411,11.71354134,10.362,9.010458658,66.76453273,-0.206590102,2.349541342,0.306458658,1.658,-0.998,-0.35,,1.638,,-1.138
10,600256.SH,20220614,11.28,11.75,11.26,11.71,11.5,0.21,1.8261,1328339.96,1539779.924,11.85564561,10.4855,9.115354387,69.89872044,0.046943902,2.144645613,-0.105645613,1.2645,-0.7745,0.43,,1.0145,,-1.2245
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
9,600256.SH,20220615,11.9,11.96,11.3,11.31,11.71,-0.4,-3.4159,1465638.23,1700051.411,11.91576023,10.5745,9.233239772,57.50384793,,,,,,,,,,
8,600256.SH,20220616,11.2,11.33,10.18,10.27,11.31,-1.04,-9.1954,2911429.2,3065006.196,11.8763669,10.6105,9.344633103,37.02144825,,,,,,,,,,
7,600256.SH,20220617,10.2,10.47,10.01,10.34,10.27,0.07,0.6816,1470299.2,1513272.651,11.82445473,10.651,9.477545271,38.78263145,,,,,,,,,,
6,600256.SH,20220620,9.9,9.9,9.33,9.36,10.34,-0.98,-9.4778,2442496.7,2307857.838,11.89841692,10.609,9.319583078,26.3861745,,,,,,,,,,
5,600256.SH,20220621,9.47,10.04,9.44,9.85,9.36,0.49,5.235,2020860.68,1970308.638,11.91155838,10.5925,9.273441624,38.23222343,,,,,,,,,,
