,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,upper,middle,lower,rsi,rsi_var = ,low-lowboll,high-highboll, high-mid,mid-low,close-open,,yes_close-mid,,mid-close
66,600256.SH,20220318,7.17,7.27,7.08,7.21,7.06,0.15,2.1246,987372.12,709206.805,7.962178599,7.237,6.511821401,50.75485803,,0.568178599,-0.692178599,0.033,0.157,0.04,,,,
65,600256.SH,20220321,7.22,7.79,7.22,7.71,7.21,0.5,6.9348,2094026.95,1602512.594,7.991653117,7.2895,6.587346883,67.80843145,0.33599884,0.632653117,-0.201653117,0.5005,0.0695,0.49,,-0.0795,,-0.4205
64,600256.SH,20220322,7.8,8.18,7.78,8.04,7.71,0.33,4.2802,2039005.76,1629653.89,8.09169876,7.3495,6.60730124,74.73723271,0.102182002,1.17269876,0.08830124,0.8305,-0.4305,0.24,,0.3605,,-0.6905
63,600256.SH,20220323,7.9,8.23,7.9,8.1,8.04,0.06,0.7463,1081884.52,874862.283,8.17669442,7.416,6.65530558,75.87037661,0.015161705,1.24469442,0.05330558,0.814,-0.484,0.2,,0.624,,-0.684
62,600256.SH,20220324,8.2,8.38,8.06,8.14,8.1,0.04,0.4938,1917295.75,1575571.64,8.275900984,7.468,6.660099016,76.70623707,0.011016954,1.399900984,0.104099016,0.912,-0.592,-0.06,,0.632,,-0.672
61,600256.SH,20220325,8.03,8.35,8.02,8.11,8.14,-0.03,-0.3686,1037348.22,845640.302,8.349710094,7.522,6.694289906,74.38711575,-0.030233804,1.325710094,0.000289906,0.828,-0.498,0.08,,0.618,,-0.588
60,600256.SH,20220328,8.01,8.63,8,8.45,8.11,0.34,4.1924,1544314.91,1294914.561,8.486460863,7.589,6.691539137,81.85001975,0.100325223,1.308460863,0.143539137,1.041,-0.411,0.44,,0.521,,-0.861
59,600256.SH,20220329,8.34,8.39,8.13,8.31,8.45,-0.14,-1.6568,1127277.62,929408.225,8.575064514,7.645,6.714935486,71.54893611,-0.12585316,1.415064514,-0.185064514,0.745,-0.485,-0.03,,0.805,,-0.665
58,600256.SH,20220330,8.2,8.2,7.87,8.02,8.31,-0.29,-3.4898,1302719.58,1041731.421,8.612540063,7.6765,6.740459937,54.49956485,-0.238289654,1.129540063,-0.412540063,0.5235,-0.1935,-0.18,,0.6335,,-0.3435
57,600256.SH,20220331,8.11,8.3,8.03,8.2,8.02,0.18,2.2444,1133484.67,928152.143,8.623292107,7.68,6.736707893,61.35793965,0.125842744,1.293292107,-0.323292107,0.62,-0.35,0.09,,0.34,,-0.52
56,600256.SH,20220401,8.2,8.33,8.1,8.26,8.2,0.06,0.7317,741708.99,610169.031,8.679435961,7.7035,6.727564039,63.55529405,0.035812063,1.372435961,-0.349435961,0.6265,-0.3965,0.06,,0.4965,,-0.5565
55,600256.SH,20220406,8.43,8.51,8.1,8.46,8.26,0.2,2.4213,1005182.58,838713.468,8.767604364,7.7375,6.707395636,70.3087783,0.106261553,1.392604364,-0.257604364,0.7725,-0.3625,0.03,,0.5225,,-0.7225
54,600256.SH,20220407,8.36,8.73,8.32,8.58,8.46,0.12,1.4184,975152.05,838514.192,8.877099811,7.795,6.712900189,73.80390195,0.049711056,1.607099811,-0.147099811,0.935,-0.525,0.22,,0.665,,-0.785
53,600256.SH,20220408,8.6,8.72,8.46,8.5,8.58,-0.08,-0.9324,781205.52,668856.288,8.956692743,7.8515,6.746307257,67.45179268,-0.086067391,1.713692743,-0.236692743,0.8685,-0.6085,-0.1,,0.7285,,-0.6485
52,600256.SH,20220411,8.49,8.63,8.29,8.38,8.5,-0.12,-1.4118,1052087.23,887859.959,9.003142474,7.9055,6.807857526,58.40379988,-0.134140138,1.482142474,-0.373142474,0.7245,-0.3845,-0.11,,0.5945,,-0.4745
51,600256.SH,20220412,8.5,8.6,8.27,8.44,8.38,0.06,0.716,860036.58,727687.236,9.054424326,7.956,6.857575674,61.50225554,0.053052296,1.412424326,-0.454424326,0.644,-0.314,-0.06,,0.424,,-0.484
