,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,upper,middle,lower,rsi
315,600546.SH,20210218,5.98,6.27,5.96,6.2,5.88,0.32,5.4422,428764.77,263646.057,,,,
314,600546.SH,20210219,6.19,6.82,6.17,6.82,6.2,0.62,10.0,485222.2,316292.474,,,,
313,600546.SH,20210222,7.0,7.35,6.8,7.08,6.82,0.26,3.8123,882468.8,626412.716,,,,
312,600546.SH,20210223,6.93,7.03,6.83,6.86,7.08,-0.22,-3.1073,435197.32,300970.276,,,,
311,600546.SH,20210224,6.89,7.0,6.73,6.86,6.86,0.0,0.0,497869.14,340922.028,,,,
310,600546.SH,20210225,6.95,7.03,6.68,6.7,6.86,-0.16,-2.3324,365277.45,248981.514,,,,
309,600546.SH,20210226,6.52,6.65,6.45,6.52,6.7,-0.18,-2.6866,274554.39,179982.832,,,,61.111111111111086
308,600546.SH,20210301,6.61,6.72,6.54,6.69,6.52,0.17,2.6074,260964.64,173325.469,,,,65.93673965936739
307,600546.SH,20210302,6.69,7.02,6.65,6.82,6.69,0.13,1.9432,508848.85,348927.108,,,,69.41896024464832
306,600546.SH,20210303,6.68,7.04,6.61,6.98,6.82,0.16,2.346,527483.2,361434.911,,,,73.43050178395202
305,600546.SH,20210304,6.86,6.98,6.8,6.92,6.98,-0.06,-0.8596,359734.98,247279.814,,,,69.33751953321001
304,600546.SH,20210305,6.82,6.89,6.72,6.81,6.92,-0.11,-1.5896,266476.9,181209.574,,,,61.76363167344766
303,600546.SH,20210308,6.87,7.03,6.77,6.89,6.81,0.08,1.1747,423570.11,292305.427,,,,65.0914592202823
302,600546.SH,20210309,6.84,6.89,6.31,6.53,6.89,-0.36,-5.225,394962.07,260920.253,,,,44.28055366737155
301,600546.SH,20210310,6.55,6.64,6.22,6.26,6.53,-0.27,-4.1348,395447.07,254714.082,,,,34.38608969124519
300,600546.SH,20210311,6.28,6.56,6.16,6.51,6.26,0.25,3.9936,498758.01,318041.836,,,,47.436423664824105
299,600546.SH,20210312,6.64,6.66,6.31,6.6,6.51,0.09,1.3825,477638.82,310046.158,,,,51.59548499982224
298,600546.SH,20210315,6.51,6.72,6.47,6.58,6.6,-0.02,-0.303,378058.34,248853.42,,,,50.529324367124474
297,600546.SH,20210316,6.59,6.59,6.38,6.43,6.58,-0.15,-2.2796,283148.08,182674.645,,,,42.605741861782064
296,600546.SH,20210317,6.4,6.63,6.28,6.5,6.43,0.07,1.0886,384704.21,248396.708,7.140194764141647,6.678,6.215805235858353,47.23892783123576
295,600546.SH,20210318,6.47,6.48,6.31,6.32,6.5,-0.18,-2.7692,307488.61,195519.981,7.123790859386514,6.684,6.244209140613487,37.81848837385742
294,600546.SH,20210319,6.26,6.4,6.2,6.22,6.32,-0.1,-1.5823,244741.99,153257.862,7.132723302127555,6.654000000000001,6.175276697872446,33.380621320348155
293,600546.SH,20210322,6.22,6.31,6.14,6.31,6.22,0.09,1.4469,228496.98,142727.771,7.0744324569040415,6.6155,6.156567543095958,40.873918780413
292,600546.SH,20210323,6.26,6.3,6.05,6.09,6.31,-0.22,-3.4865,298933.25,183910.407,7.074959837737912,6.577,6.079040162262088,30.733676562659294
291,600546.SH,20210324,6.04,6.12,5.97,6.01,6.09,-0.08,-1.3136,191520.72,115484.795,7.072104873489785,6.5344999999999995,5.996895126510214,27.731576504128334
290,600546.SH,20210325,6.01,6.17,5.98,6.03,6.01,0.02,0.3328,214951.85,130710.711,7.075417966292822,6.5009999999999994,5.926582033707177,29.789061511963794
289,600546.SH,20210326,6.03,6.19,6.01,6.15,6.03,0.12,1.99,216521.79,132259.778,7.076768457853868,6.482499999999999,5.88823154214613,41.73290174341533
288,600546.SH,20210329,6.2,6.39,6.17,6.27,6.15,0.12,1.9512,373608.76,235222.987,7.054636577863814,6.461499999999999,5.868363422136184,51.61088210667071
287,600546.SH,20210330,6.2,6.24,6.09,6.13,6.27,-0.14,-2.2329,242686.19,148900.462,7.01293856333234,6.427,5.841061436667659,41.71112190552227
286,600546.SH,20210331,6.13,6.28,6.07,6.21,6.13,0.08,1.3051,205885.42,127477.797,6.922963282181293,6.388499999999999,5.854036717818705,48.486694585904566
285,600546.SH,20210401,6.17,6.22,6.09,6.19,6.21,-0.02,-0.3221,228164.7,140341.86,6.833356416805712,6.3519999999999985,5.870643583194285,46.852825145792806
284,600546.SH,20210402,6.19,6.22,6.13,6.13,6.19,-0.06,-0.9693,173676.17,106998.489,6.759569926512216,6.317999999999999,5.876430073487781,41.78400026274595
283,600546.SH,20210406,6.15,6.72,6.13,6.41,6.13,0.28,4.5677,463961.91,296767.076,6.653076593500659,6.293999999999999,5.934923406499339,63.74737243226597
282,600546.SH,20210407,6.41,6.59,6.35,6.49,6.41,0.08,1.248,435393.83,282302.017,6.646208977864832,6.291999999999998,5.937791022135164,67.89959288136255
281,600546.SH,20210408,6.55,6.6,6.41,6.52,6.49,0.03,0.4622,374628.96,243398.412,6.672396243856816,6.304999999999998,5.93760375614318,69.47298774584806
280,600546.SH,20210409,6.45,6.59,6.41,6.49,6.52,-0.03,-0.4601,311339.78,202886.035,6.669261550125593,6.303999999999997,5.938738449874401,65.61373523210764
279,600546.SH,20210412,6.42,6.42,6.2,6.23,6.49,-0.26,-4.0062,326538.3,205350.935,6.6255279400286415,6.285499999999997,5.945472059971353,41.587582485229575
278,600546.SH,20210413,6.25,6.27,6.06,6.1,6.23,-0.13,-2.0867,236187.7,144376.777,6.582203913290991,6.261499999999997,5.940796086709003,34.09641593726345
277,600546.SH,20210414,6.07,6.14,6.06,6.12,6.1,0.02,0.3279,141831.53,86571.096,6.562569107779217,6.245999999999998,5.929430892220778,36.21748734985004
276,600546.SH,20210415,6.12,6.21,6.08,6.19,6.12,0.07,1.1438,223375.24,137227.266,6.525422023592843,6.2304999999999975,5.935577976407152,43.812604065154254
275,600546.SH,20210416,6.2,6.45,6.15,6.35,6.19,0.16,2.5848,370985.12,235213.776,6.529025251451975,6.2319999999999975,5.93497474854802,57.646039422419484
274,600546.SH,20210419,6.4,6.53,6.35,6.46,6.35,0.11,1.7323,386386.94,250069.441,6.557075070869728,6.243999999999998,5.930924929130268,64.79645779925617
273,600546.SH,20210420,6.45,6.52,6.38,6.4,6.46,-0.06,-0.9288,250358.72,161257.791,6.5677663464884635,6.248499999999998,5.929233653511533,58.34870393430589
272,600546.SH,20210421,6.34,6.42,6.27,6.39,6.4,-0.01,-0.1563,192841.38,122494.603,6.579745158065825,6.263499999999998,5.94725484193417,57.210132882928185
271,600546.SH,20210422,6.45,6.6,6.43,6.49,6.39,0.1,1.5649,300168.25,195424.616,6.595907198359787,6.287499999999997,5.979092801640207,65.3287137872139
270,600546.SH,20210423,6.43,6.45,6.25,6.31,6.49,-0.18,-2.7735,233628.94,148081.179,6.58640524740709,6.301499999999997,6.016594752592904,46.338343255249114
269,600546.SH,20210426,6.35,6.73,6.34,6.54,6.31,0.23,3.645,550243.99,360371.755,6.615000000000177,6.320999999999997,6.026999999999817,62.88249970822179
268,600546.SH,20210427,6.5,6.67,6.29,6.32,6.54,-0.22,-3.3639,392064.84,251613.037,6.616571663591156,6.3234999999999975,6.030428336408839,46.446122330692326
267,600546.SH,20210428,6.3,6.58,6.17,6.55,6.32,0.23,3.6392,463440.15,299456.647,6.639286363321135,6.344499999999997,6.0497136366788595,59.67073623598408
266,600546.SH,20210429,6.55,6.65,6.45,6.65,6.55,0.1,1.5267,461264.73,303118.742,6.68274515806587,6.366499999999998,6.050254841934125,64.27366220137458
265,600546.SH,20210430,6.6,6.6,6.3,6.32,6.65,-0.33,-4.9624,557757.03,356390.716,6.679665942028307,6.3729999999999976,6.066334057971688,44.26654524646914
