,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,upper,middle,lower,rsi
264,600546.SH,20210506,6.38,6.95,6.38,6.95,6.32,0.63,9.9684,541996.35,365651.304,6.790956230881185,6.413999999999997,6.037043769118809,67.46659262804616
263,600546.SH,20210507,7.16,7.6,7.1,7.45,6.95,0.5,7.1942,1968666.53,1439625.013,7.054163242646259,6.465999999999997,5.877836757353735,76.70270346222455
262,600546.SH,20210510,7.35,8.0,7.31,7.76,7.45,0.31,4.1611,1499160.88,1142910.96,7.344717148985557,6.529499999999997,5.714282851014437,80.76541000408058
261,600546.SH,20210511,7.47,7.64,7.17,7.41,7.76,-0.35,-4.5103,999924.65,736583.898,7.474941729525314,6.573999999999998,5.673058270474682,65.33022968422121
260,600546.SH,20210512,7.35,7.6,7.25,7.5,7.41,0.09,1.2146,643548.48,481407.481,7.610187070017711,6.624499999999998,5.638812929982284,67.26090265991485
259,600546.SH,20210513,7.31,7.47,7.18,7.22,7.5,-0.28,-3.7333,656736.73,479943.095,7.674787689772466,6.673999999999998,5.673212310227529,55.68416409723199
258,600546.SH,20210514,7.25,7.32,7.03,7.09,7.22,-0.13,-1.8006,569095.94,406195.419,7.703546427471716,6.723499999999999,5.743453572528281,50.81164697982919
257,600546.SH,20210517,7.06,7.24,7.01,7.13,7.09,0.04,0.5642,404651.59,288359.74,7.728199140641028,6.773999999999998,5.819800859358969,52.35112057919279
256,600546.SH,20210518,7.18,7.33,7.11,7.18,7.13,0.05,0.7013,376973.76,271506.243,7.753796189393512,6.823499999999998,5.893203810606485,54.487751529392824
255,600546.SH,20210519,7.17,7.17,6.93,7.05,7.18,-0.13,-1.8106,424777.27,298350.309,7.767329466951879,6.858499999999999,5.94967053304812,47.80028118906542
254,600546.SH,20210520,6.7,6.7,6.35,6.38,7.05,-0.67,-9.5035,835301.41,540783.23,7.770981860158765,6.854499999999999,5.938018139841233,27.173775481875495
253,600546.SH,20210521,6.3,6.58,6.3,6.46,6.38,0.08,1.2539,424972.82,273915.049,7.768386930414554,6.857499999999999,5.946613069585444,31.414351837405352
252,600546.SH,20210524,6.4,6.48,6.29,6.44,6.46,-0.02,-0.3096,275715.25,176495.92,7.766002207502847,6.859999999999999,5.953997792497152,30.875008360667334
251,600546.SH,20210525,6.46,6.55,6.29,6.48,6.44,0.04,0.6211,449278.88,289037.8,7.766329090843503,6.859499999999999,5.952670909156494,33.610576071054076
250,600546.SH,20210526,6.45,6.54,6.42,6.49,6.48,0.01,0.1543,303148.76,196779.6,7.7567178786761986,6.868499999999999,5.9802821213238,34.38952115217147
249,600546.SH,20210527,6.51,6.71,6.5,6.59,6.49,0.1,1.5408,410561.56,271995.407,7.75578019869344,6.8709999999999996,5.986219801306559,42.48708800771339
248,600546.SH,20210528,6.7,6.72,6.45,6.51,6.59,-0.08,-1.214,367075.47,241086.136,7.745265286074778,6.8805,6.015734713925221,37.98638335162748
247,600546.SH,20210531,6.56,6.67,6.55,6.63,6.51,0.12,1.8433,322173.95,212859.637,7.743836371859174,6.884499999999998,6.025163628140823,47.917303974591995
246,600546.SH,20210601,6.6,6.9,6.51,6.85,6.63,0.22,3.3183,545404.24,366322.616,7.7473182690351265,6.894499999999998,6.04168173096487,61.48613039790385
245,600546.SH,20210602,6.88,7.54,6.79,7.54,6.85,0.69,10.073,952530.45,694331.926,7.8097476221799536,6.955499999999998,6.1012523778200425,80.55365847315598
244,600546.SH,20210603,7.78,7.91,7.47,7.47,7.54,-0.07,-0.9284,1601856.81,1228044.183,7.864659668463208,6.981499999999999,6.0983403315367894,75.97460331098047
243,600546.SH,20210604,7.32,7.38,7.05,7.17,7.47,-0.3,-4.0161,811323.9,584171.142,7.829123467647,6.9674999999999985,6.105876532352997,58.78819293859583
242,600546.SH,20210607,7.33,7.89,7.33,7.66,7.17,0.49,6.834,1404035.04,1083161.585,7.806653422074476,6.962499999999999,6.1183465779255215,71.44764164555201
241,600546.SH,20210608,7.77,8.17,7.59,7.62,7.66,-0.04,-0.5222,1094179.65,858137.91,7.843955796811775,6.972999999999999,6.102044203188223,69.36050660517901
240,600546.SH,20210609,7.92,8.38,7.75,8.38,7.62,0.76,9.9738,1027787.61,837712.591,8.061607103173273,7.016999999999999,5.972392896826723,81.60934145829304
239,600546.SH,20210610,8.4,8.8,8.26,8.28,8.38,-0.1,-1.1933,1921943.34,1623247.351,8.249304880003493,7.0699999999999985,5.890695119996504,76.7638524286306
238,600546.SH,20210611,8.53,8.9,8.33,8.4,8.28,0.12,1.4493,1424634.8,1217332.237,8.449767476581574,7.135499999999999,5.8212325234184235,78.59403744226715
237,600546.SH,20210615,8.4,8.58,7.95,8.08,8.4,-0.32,-3.8095,1091853.72,892659.849,8.560201510309945,7.183,5.805798489690055,62.772453760121884
236,600546.SH,20210616,8.17,8.34,7.72,7.74,8.08,-0.34,-4.2079,1123018.05,901870.752,8.609426258334699,7.211,5.812573741665302,49.95152963870444
235,600546.SH,20210617,7.7,8.13,7.68,7.98,7.74,0.24,3.1008,909411.98,721819.304,8.692782202216721,7.2574999999999985,5.822217797783276,57.33318869754365
234,600546.SH,20210618,8.04,8.44,7.9,7.97,7.98,-0.01,-0.1253,1128935.56,918381.404,8.744936078094494,7.336999999999999,5.929063921905504,56.9134796637835
233,600546.SH,20210621,7.8,8.08,7.51,8.06,7.97,0.09,1.1292,895124.54,702622.488,8.798087976922577,7.416999999999999,6.035912023077421,60.070381897540635
232,600546.SH,20210622,7.99,8.18,7.86,8.0,8.06,-0.06,-0.7444,727212.73,581393.637,8.821702679578232,7.494999999999999,6.168297320421766,56.7443072213368
231,600546.SH,20210623,8.1,8.31,7.83,8.14,8.0,0.14,1.75,968732.06,785253.254,8.846756871902587,7.578,6.309243128097414,62.55031719626738
230,600546.SH,20210624,8.29,8.42,8.03,8.03,8.14,-0.11,-1.3514,891059.08,732048.633,8.83404198398534,7.654999999999999,6.475958016014659,55.52352038937782
229,600546.SH,20210625,7.97,8.52,7.94,8.31,8.03,0.28,3.4869,986280.32,810640.919,8.845316983478954,7.741,6.6366830165210455,66.88625320500398
228,600546.SH,20210628,7.81,7.84,7.48,7.48,8.31,-0.83,-9.988,1125416.02,849997.511,8.74900977066418,7.789499999999999,6.829990229335818,35.041557697292724
227,600546.SH,20210629,7.39,7.48,7.15,7.19,7.48,-0.29,-3.877,700923.64,510239.482,8.666331549837796,7.8175,6.968668450162204,29.210577944834586
226,600546.SH,20210630,7.24,7.34,7.14,7.18,7.19,-0.01,-0.1391,467648.02,337380.867,8.617259854709825,7.8340000000000005,7.050740145290177,29.010821223713307
225,600546.SH,20210701,7.18,7.25,6.93,6.96,7.18,-0.22,-3.0641,543380.62,385488.029,8.668492906745623,7.8050000000000015,6.94150709325438,24.574267375867517
224,600546.SH,20210702,6.9,7.05,6.85,7.04,6.96,0.08,1.1494,387698.81,269405.385,8.699126015357828,7.783500000000001,6.8678739846421735,29.292707967312086
223,600546.SH,20210705,7.05,7.19,6.97,7.16,7.04,0.12,1.7045,446066.72,315257.911,8.699975463139573,7.783000000000001,6.866024536860429,36.448789594669215
222,600546.SH,20210706,7.18,7.21,7.03,7.11,7.16,-0.05,-0.6983,326890.01,231932.592,8.717466215622979,7.755500000000002,6.793533784377025,34.69319058498816
221,600546.SH,20210707,7.05,7.26,6.91,7.21,7.11,0.1,1.4065,513565.24,364585.859,8.724717131305702,7.735000000000002,6.745282868694301,41.46031050608931
220,600546.SH,20210708,7.14,7.2,6.81,7.02,7.21,-0.19,-2.6352,624015.01,434824.147,8.656991919158902,7.667000000000003,6.677008080841104,33.53703264159746
219,600546.SH,20210709,6.97,7.18,6.94,7.09,7.02,0.07,0.9972,511109.64,361905.416,8.585945195194885,7.6075000000000035,6.629054804805122,38.71492198309676
218,600546.SH,20210712,7.09,7.19,7.04,7.13,7.09,0.04,0.5642,455677.61,324033.544,8.472017241219174,7.544000000000002,6.615982758780831,41.82283454820956
217,600546.SH,20210713,7.18,7.42,7.05,7.4,7.13,0.27,3.7868,724544.1,527945.703,8.406258891169307,7.5100000000000025,6.613741108830699,58.76212862097575
216,600546.SH,20210714,7.39,7.6,7.27,7.4,7.4,0.0,0.0,685473.26,510549.616,8.384046575662602,7.493000000000002,6.6019534243374025,58.76212862097574
215,600546.SH,20210715,7.38,7.4,7.05,7.36,7.4,-0.04,-0.5405,572927.0,413992.354,8.325842578251363,7.462000000000003,6.5981574217486445,55.32554310524891
214,600546.SH,20210716,7.32,7.88,7.28,7.54,7.36,0.18,2.4457,987859.18,753441.127,8.27355401985705,7.440500000000003,6.607445980142956,66.0478958420498
213,600546.SH,20210719,7.72,7.76,7.38,7.46,7.54,-0.08,-1.061,601196.35,451938.281,8.193889430615398,7.410500000000003,6.627110569384609,58.552799787201295
212,600546.SH,20210720,7.32,7.52,7.18,7.44,7.46,-0.02,-0.2681,429250.61,315429.94,8.11818675399245,7.382500000000003,6.6468132460075555,56.62506113523046
211,600546.SH,20210721,7.44,7.55,7.23,7.3,7.44,-0.14,-1.8817,517674.43,378283.86,7.989174802963627,7.340500000000003,6.691825197036379,44.35775213573158
210,600546.SH,20210722,7.3,7.5,7.21,7.33,7.3,0.03,0.411,470824.24,347141.884,7.871908862924887,7.305500000000004,6.739091137075121,47.29388747906272
209,600546.SH,20210723,7.26,7.57,7.25,7.35,7.26,0.09,1.2397,647844.78,481567.359,7.589456322427998,7.257500000000003,6.925543677572008,49.4287272040933
208,600546.SH,20210726,7.35,7.67,7.24,7.55,7.35,0.2,2.7211,904816.06,675098.88,7.603572620038195,7.261000000000005,6.918427379961814,65.96945055151545
207,600546.SH,20210727,7.49,7.73,7.25,7.31,7.55,-0.24,-3.1788,791301.91,594453.856,7.608590397991215,7.267000000000005,6.925409602008795,44.84692725107488
206,600546.SH,20210728,7.19,7.23,6.58,6.73,7.31,-0.58,-7.9343,684433.83,468156.974,7.657802552617154,7.244500000000004,6.831197447382854,23.254333203592292
205,600546.SH,20210729,6.8,6.92,6.73,6.86,6.73,0.13,1.9316,415582.36,284096.409,7.6685675937423,7.239500000000004,6.810432406257708,32.05339726963004
204,600546.SH,20210730,7.02,7.55,6.91,7.35,6.86,0.49,7.1429,947047.01,689860.283,7.676449878395753,7.255000000000004,6.833550121604255,55.256516893141516
203,600546.SH,20210802,7.09,7.37,6.92,7.36,7.35,0.01,0.1361,703880.01,504157.397,7.68644987839572,7.265000000000005,6.84355012160429,55.62760468856469
202,600546.SH,20210803,7.34,7.48,7.01,7.01,7.36,-0.35,-4.7554,589871.81,423938.984,7.690952433569953,7.260000000000003,6.829047566430054,41.256539240070964
201,600546.SH,20210804,7.07,7.28,6.99,7.27,7.01,0.26,3.709,516253.17,369769.411,7.693353343195867,7.2630000000000035,6.8326466568041395,52.2525537796418
200,600546.SH,20210805,7.21,7.55,7.2,7.36,7.27,0.09,1.238,732687.49,540998.729,7.697276886491271,7.280000000000004,6.8627231135087365,55.69729372152518
199,600546.SH,20210806,7.31,7.73,7.21,7.51,7.36,0.15,2.038,833458.8,628172.885,7.720184923392833,7.301000000000004,6.881815076607174,61.28367321733164
198,600546.SH,20210809,7.55,7.62,7.38,7.49,7.51,-0.02,-0.2663,495782.28,370437.404,7.738184923392834,7.319000000000004,6.899815076607175,60.07170803954482
197,600546.SH,20210810,7.4,7.64,7.39,7.5,7.49,0.01,0.1335,559833.48,420587.664,7.749271677871799,7.324000000000003,6.898728322128208,60.539932851663835
196,600546.SH,20210811,7.52,7.86,7.5,7.77,7.5,0.27,3.6,909284.98,697576.527,7.809527836429343,7.342500000000004,6.875472163570665,71.40457193629184
195,600546.SH,20210812,7.76,8.08,7.67,7.93,7.77,0.16,2.0592,923896.8,725944.896,7.903762611300634,7.371000000000004,6.838237388699374,76.08662041511309
194,600546.SH,20210813,7.84,8.09,7.81,7.92,7.93,-0.01,-0.1261,645660.42,514146.236,7.970482557877454,7.390000000000003,6.809517442122552,75.16360664857419
193,600546.SH,20210816,8.03,8.25,7.82,8.04,7.92,0.12,1.5152,904204.58,731074.553,8.064845182686993,7.419000000000002,6.773154817313011,78.85702478210878
192,600546.SH,20210817,8.0,8.12,7.6,7.68,8.04,-0.36,-4.4776,763919.98,598684.505,8.086801799326608,7.431000000000003,6.775198200673397,51.36075222224943
191,600546.SH,20210818,7.71,7.84,7.5,7.64,7.68,-0.04,-0.5208,580832.61,444658.432,8.106956751236401,7.448000000000002,6.789043248763604,49.079003030354215
190,600546.SH,20210819,7.57,7.57,7.26,7.47,7.64,-0.17,-2.2251,641008.18,474292.938,8.111764798082307,7.455000000000001,6.798235201917696,40.01313683315135
189,600546.SH,20210820,7.41,8.22,7.25,7.97,7.47,0.5,6.6934,1151228.61,898816.577,8.177618391889663,7.4860000000000015,6.79438160811034,63.68729363621979
188,600546.SH,20210823,8.36,8.59,8.17,8.31,7.97,0.34,4.266,1626519.27,1362683.009,8.303445957074683,7.524000000000001,6.744554042925319,72.5328033377891
187,600546.SH,20210824,8.52,8.59,8.06,8.16,8.31,-0.15,-1.8051,1115592.96,914341.952,8.386287167501479,7.5665000000000004,6.746712832498523,64.24740446916447
186,600546.SH,20210825,8.14,8.43,8.1,8.32,8.16,0.16,1.9608,988897.01,816875.489,8.433639511451867,7.646000000000001,6.858360488548134,68.80809704323694
185,600546.SH,20210826,8.28,9.15,8.25,9.15,8.32,0.83,9.976,1755323.24,1549852.518,8.707484160374477,7.7605,6.813515839625524,82.61395459282356
184,600546.SH,20210827,8.9,9.77,8.82,9.62,9.15,0.47,5.1366,2194342.93,2032684.196,9.100008156579777,7.8740000000000006,6.647991843420224,86.63395037762817
183,600546.SH,20210830,9.3,10.45,9.15,10.03,9.62,0.41,4.262,1817456.99,1761452.815,9.526919296968467,8.0075,6.488080703031533,89.23865551666617
182,600546.SH,20210831,9.95,11.03,9.7,11.03,10.03,1.0,9.9701,1594876.84,1665041.06,10.151469634348453,8.2085,6.265530365651548,93.1472337276358
181,600546.SH,20210901,11.55,12.13,10.78,11.29,11.03,0.26,2.3572,2476912.44,2833218.023,10.719586362022028,8.4095,6.09941363797797,93.84474743195193
180,600546.SH,20210902,10.95,12.31,10.9,12.0,11.29,0.71,6.2888,1743479.07,2026702.264,11.37632193204607,8.641499999999999,5.906678067953928,95.38428969483928
179,600546.SH,20210903,11.57,11.85,10.8,11.14,12.0,-0.86,-7.1667,1532230.66,1719999.36,11.71089265728493,8.822999999999999,5.935107342715067,69.95278332757567
178,600546.SH,20210906,11.42,12.1,10.9,11.88,11.14,0.74,6.6427,1475396.75,1699876.12,12.150694813714255,9.042499999999999,5.9343051862857426,76.43914073130438
177,600546.SH,20210907,12.25,12.99,12.04,12.78,11.88,0.9,7.5758,1401181.71,1752240.04,12.727027883236763,9.306499999999998,5.885972116763233,82.0837686928517
176,600546.SH,20210908,12.15,13.83,12.14,13.17,12.78,0.39,3.0516,1319147.83,1735986.12,13.307662151394688,9.576499999999998,5.845337848605308,84.06851011388599
175,600546.SH,20210909,13.23,14.48,13.18,14.47,13.17,1.3,9.8709,1246500.33,1739613.901,14.115498456789878,9.903499999999998,5.6915015432101175,88.96035261447366
174,600546.SH,20210910,14.02,14.8,13.6,13.8,14.47,-0.67,-4.6303,1184984.41,1668180.01,14.629753941280917,10.197499999999998,5.765246058719079,74.76277688190686
173,600546.SH,20210913,13.8,15.18,13.79,15.14,13.8,1.34,9.7101,1097029.1,1616014.986,15.35827517160345,10.552499999999998,5.746724828396546,81.75217812589143
172,600546.SH,20210914,14.77,14.78,14.14,14.61,15.14,-0.53,-3.5007,982193.94,1419054.605,15.824204158205049,10.898999999999997,5.973795841794946,72.25453526127464
171,600546.SH,20210915,14.29,14.88,13.88,14.16,14.61,-0.45,-3.0801,927148.01,1325213.959,16.107124537534887,11.224999999999998,6.342875462465109,64.6071184054831
170,600546.SH,20210916,15.0,15.09,13.43,13.82,14.16,-0.34,-2.4011,1211181.7,1714622.356,16.22851269737932,11.542499999999999,6.856487302620678,58.9501682725328
169,600546.SH,20210917,13.35,14.23,12.44,12.81,13.82,-1.01,-7.3082,1181680.56,1551877.726,16.199612569346378,11.784499999999998,7.3693874306536165,44.927320986864174
168,600546.SH,20210922,12.76,13.35,12.4,13.17,12.81,0.36,2.8103,849406.27,1107115.86,16.177983706750368,12.027499999999998,7.877016293249628,50.01323017813778
167,600546.SH,20210923,13.92,14.42,13.29,13.57,13.17,0.4,3.0372,1144257.51,1587373.672,16.095128388664296,12.297999999999998,8.500871611335699,55.49341726347154
166,600546.SH,20210924,13.31,13.85,12.71,12.98,13.57,-0.59,-4.3478,872190.86,1137126.577,15.867038968597399,12.530999999999997,9.194961031402595,46.474953894700754
165,600546.SH,20210927,13.02,13.19,12.02,12.85,12.98,-0.13,-1.0015,924777.95,1180527.317,15.670044007796838,12.715999999999998,9.761955992203157,44.56020916111553
164,600546.SH,20210928,12.91,14.07,12.72,13.8,12.85,0.95,7.393,975627.62,1318775.042,15.545995993892493,12.924999999999997,10.304004006107501,59.274014781574735
163,600546.SH,20210929,14.02,14.6,12.42,12.5,13.8,-1.3,-9.4203,1138572.87,1511873.329,15.32194034450009,13.048499999999995,10.7750596554999,41.28242256055347
162,600546.SH,20210930,12.0,12.6,11.76,12.6,12.5,0.1,0.8,855473.18,1044266.531,15.217273666293638,13.126999999999995,11.036726333706353,42.88275568707559
161,600546.SH,20211008,12.68,12.68,11.34,11.99,12.6,-0.61,-4.8413,695682.9,820001.219,15.148953446862953,13.161999999999995,11.175046553137038,35.750382759638335
160,600546.SH,20211011,12.14,13.19,11.71,13.19,11.99,1.2,10.0083,871543.8,1087930.821,15.135639754563577,13.221499999999995,11.307360245436413,53.864562044212775
159,600546.SH,20211012,13.35,14.2,11.88,12.27,13.19,-0.92,-6.975,1222645.48,1561945.452,15.00012194690177,13.277999999999995,11.55587805309822,42.77070929825841
158,600546.SH,20211013,12.29,12.33,11.04,11.2,12.27,-1.07,-8.7205,846542.75,958031.538,15.097055854528069,13.243999999999994,11.39094414547192,33.22135849110421
157,600546.SH,20211014,10.89,11.32,10.59,11.17,11.2,-0.03,-0.2679,674837.11,744103.809,15.219012344891393,13.163499999999994,11.107987655108595,32.973665710128905
156,600546.SH,20211015,11.11,11.78,10.76,11.51,11.17,0.34,3.0439,783128.51,888235.159,15.258659544202546,13.080499999999995,10.902340455797445,39.144381582635
155,600546.SH,20211018,11.78,12.35,11.34,12.12,11.51,0.61,5.2997,859395.64,1028713.799,15.081377681151494,12.962999999999994,10.844622318848494,49.211160585438314
154,600546.SH,20211019,12.11,12.44,11.77,11.88,12.12,-0.24,-1.9802,719052.37,865710.104,14.998929642366454,12.866999999999994,10.735070357633534,45.6461817002833
153,600546.SH,20211020,10.69,10.69,10.69,10.69,11.88,-1.19,-10.0168,196020.0,209545.38,14.708878598997988,12.644499999999994,10.580121401002,31.89736928598148
152,600546.SH,20211021,10.21,11.2,10.21,11.0,10.69,0.31,2.8999,805544.64,871281.475,14.438734412522582,12.463999999999993,10.489265587477405,37.75794934535333
151,600546.SH,20211022,10.94,11.4,10.23,10.35,11.0,-0.65,-5.9091,765523.7,815431.626,14.291650390828424,12.273499999999993,10.255349609171562,31.037524880100047
150,600546.SH,20211025,10.51,10.82,10.0,10.56,10.35,0.21,2.029,586253.4,618962.912,14.129296423615052,12.110499999999993,10.091703576384933,35.489050937868136
149,600546.SH,20211026,10.65,10.72,10.1,10.19,10.56,-0.37,-3.5038,704134.06,727111.812,14.135120328351189,11.979499999999993,9.823879671648797,31.227247111136197
148,600546.SH,20211027,9.89,10.08,9.58,9.74,10.19,-0.45,-4.4161,867037.02,847606.581,14.09899628982695,11.807999999999995,9.51700371017304,26.570425382430933
147,600546.SH,20211028,9.45,9.51,8.77,8.85,9.74,-0.89,-9.1376,1187987.69,1061425.219,14.052907898330968,11.571999999999994,9.09109210166902,19.62469917587212
146,600546.SH,20211029,8.9,8.95,8.66,8.81,8.85,-0.04,-0.452,942180.64,827885.896,14.030005390956642,11.363499999999995,8.696994609043347,19.35186844510971
