,ts_code,name
215,000667.SZ,美好置业
216,000668.SZ,荣丰控股
217,000669.SZ,ST金鸿
218,000670.SZ,盈方微
219,000671.SZ,阳光城
220,000672.SZ,上峰水泥
221,000676.SZ,智度股份
222,000677.SZ,恒天海龙
223,000678.SZ,襄阳轴承
224,000679.SZ,大连友谊
225,000680.SZ,山推股份
226,000681.SZ,视觉中国
227,000682.SZ,东方电子
228,000683.SZ,远兴能源
229,000685.SZ,中山公用
230,000686.SZ,东北证券
231,000688.SZ,国城矿业
232,000690.SZ,宝新能源
233,000691.SZ,亚太实业
234,000692.SZ,惠天热电
235,000695.SZ,滨海能源
236,000697.SZ,炼石航空
237,000698.SZ,沈阳化工
238,000700.SZ,模塑科技
239,000701.SZ,厦门信达
240,000702.SZ,正虹科技
241,000703.SZ,恒逸石化
242,000705.SZ,浙江震元
243,000707.SZ,双环科技
244,000708.SZ,中信特钢
245,000709.SZ,河钢股份
246,000710.SZ,贝瑞基因
247,000711.SZ,京蓝科技
248,000712.SZ,锦龙股份
249,000713.SZ,丰乐种业
250,000715.SZ,中兴商业
251,000716.SZ,黑芝麻
252,000717.SZ,中南股份
253,000718.SZ,苏宁环球
254,000719.SZ,中原传媒
255,000720.SZ,新能泰山
256,000721.SZ,西安饮食
257,000722.SZ,湖南发展
258,000723.SZ,美锦能源
259,000725.SZ,京东方A
260,000726.SZ,鲁泰A
261,000727.SZ,冠捷科技
262,000728.SZ,国元证券
263,000729.SZ,燕京啤酒
264,000731.SZ,四川美丰
265,000732.SZ,ST泰禾
266,000733.SZ,振华科技
267,000735.SZ,罗牛山
268,000736.SZ,中交地产
269,000737.SZ,北方铜业
270,000738.SZ,航发控制
271,000739.SZ,普洛药业
272,000750.SZ,国海证券
273,000751.SZ,锌业股份
274,000752.SZ,*ST西发
275,000753.SZ,漳州发展
276,000755.SZ,山西路桥
277,000756.SZ,新华制药
278,000757.SZ,浩物股份
279,000758.SZ,中色股份
280,000759.SZ,中百集团
281,000761.SZ,本钢板材
282,000762.SZ,西藏矿业
283,000766.SZ,通化金马
284,000767.SZ,晋控电力
285,000768.SZ,中航西飞
286,000776.SZ,广发证券
287,000777.SZ,中核科技
288,000778.SZ,新兴铸管
289,000779.SZ,甘咨询
290,000782.SZ,美达股份
291,000783.SZ,长江证券
292,000785.SZ,居然之家
293,000786.SZ,北新建材
294,000788.SZ,北大医药
295,000789.SZ,万年青
296,000790.SZ,华神科技
297,000791.SZ,甘肃电投
298,000792.SZ,盐湖股份
299,000793.SZ,华闻集团
300,000795.SZ,英洛华
301,000796.SZ,ST凯撒
302,000797.SZ,中国武夷
303,000798.SZ,中水渔业
304,000799.SZ,酒鬼酒
305,000800.SZ,一汽解放
306,000801.SZ,四川九洲
307,000802.SZ,北京文化
308,000803.SZ,山高环能
309,000806.SZ,*ST银河
310,000807.SZ,云铝股份
311,000809.SZ,ST新城
312,000810.SZ,创维数字
313,000811.SZ,冰轮环境
314,000812.SZ,陕西金叶
315,000813.SZ,德展健康
316,000815.SZ,美利云
317,000816.SZ,智慧农业
318,000818.SZ,航锦科技
319,000819.SZ,岳阳兴长
320,000820.SZ,神雾节能
321,000821.SZ,京山轻机
322,000822.SZ,山东海化
323,000823.SZ,超声电子
324,000825.SZ,太钢不锈
325,000826.SZ,启迪环境
326,000828.SZ,东莞控股
327,000829.SZ,天音控股
328,000830.SZ,鲁西化工
329,000831.SZ,中国稀土
330,000833.SZ,粤桂股份
331,000836.SZ,富通信息
332,000837.SZ,秦川机床
333,000838.SZ,财信发展
334,000839.SZ,ST国安
335,000848.SZ,承德露露
336,000850.SZ,华茂股份
337,000851.SZ,高鸿股份
338,000852.SZ,石化机械
339,000856.SZ,冀东装备
340,000858.SZ,五粮液
341,000859.SZ,国风新材
342,000860.SZ,顺鑫农业
343,000861.SZ,海印股份
344,000862.SZ,银星能源
345,000863.SZ,三湘印象
346,000868.SZ,安凯客车
347,000869.SZ,张裕A
348,000875.SZ,吉电股份
349,000876.SZ,新希望
350,000877.SZ,天山股份
351,000878.SZ,云南铜业
352,000880.SZ,潍柴重机
353,000881.SZ,中广核技
354,000882.SZ,华联股份
355,000883.SZ,湖北能源
356,000885.SZ,城发环境
357,000886.SZ,海南高速
358,000887.SZ,中鼎股份
359,000888.SZ,峨眉山A
360,000889.SZ,ST中嘉
361,000890.SZ,法尔胜
362,000892.SZ,欢瑞世纪
363,000893.SZ,亚钾国际
364,000895.SZ,双汇发展
365,000897.SZ,津滨发展
366,000898.SZ,鞍钢股份
367,000899.SZ,赣能股份
368,000900.SZ,现代投资
369,000901.SZ,航天科技
370,000902.SZ,新洋丰
371,000903.SZ,云内动力
372,000905.SZ,厦门港务
